ref,outcome,k=15,k=14,k=13,k=12,k=11,k=10,k=9,k=8,k=7,k=6,k=5,k=4,k=3,k=2,k=1
AM15.4,4,70.5461067439,68.7340494175,66.7485255066,64.4325382522,62.3764646884,59.9106411526,57.9958649159,55.6155507891,52.5564854991,48.4845286383,43.4973895641,36.1613282516,30.0320779701,17.7788559669,0.4691888106
AM15.5,4,120.0791277198,118.1284105929,115.8799012918,113.338603149,110.3353581883,106.7359332531,102.762362774,99.7583923576,95.9148115928,90.7960014462,83.6665752262,75.5444015917,62.0075158678,34.9375688173,1.2412190621
AM15.6,4,69.5625052453,68.2706338591,66.7807444019,65.0427557442,62.9927357979,60.8863939365,58.3531149704,55.1935260508,51.1342558161,45.7387586274,38.1875663496,27.1768553703,15.3465109561,0.878834193,0.4208427616
mw13.1,4,52.0172542189,50.0296746817,47.8249618189,45.2646214734,42.2427965088,38.6280408623,34.2121204107,31.9030470315,28.9351058564,26.1322801893,23.7355970168,20.6868822854,20.119973896,20.0310564316,20.0258753846
AM13.1,4,59.0152381893,58.3507238032,57.6060121157,56.7534194895,55.7775652701,54.613744243,53.1974563168,51.4294080825,49.1571072267,46.1474582139,41.9340664064,38.0913295523,32.2273171543,20.5997785513,20.5497676318
mw13.2,1,80.903140472,78.9914752865,76.7972692639,74.2411207544,71.2331730849,67.6244450137,63.2138688512,60.4907777749,56.9958023876,52.3707476939,46.2871122489,39.1359725015,32.8020244477,20.1401985918,20.0690647084
mw13.3,4,151.0479033187,144.8136007388,137.6214065997,130.2431097024,121.5284472158,111.0740110962,98.3066567849,85.8907419018,69.9297146128,61.9411851359,50.7580033287,37.90455704,20.0260506366,20.017472429,20.0077164062
AM13.2,4,84.6804740452,82.648708898,80.3050335924,77.5707739294,75.3858586567,73.6516936047,71.5405967222,68.9053564631,66.0664528703,62.2827009942,57.8740145032,51.26991963,40.8981422918,20.1574930229,20.0765159886
mw13.4,4,51.6210663351,49.2400363167,46.4987595486,43.8390591391,41.7687904143,39.3319849309,37.1514467339,34.5018316609,31.1150533733,29.6469911917,27.7225625574,24.9523053235,20.5068356165,20.4005972665,20.1155534657
AM13.3,1,66.9412498477,66.0855481541,65.1157447854,64.0229275474,62.7411276584,61.2291170704,59.3811063172,57.0713924844,54.10184516,50.14407783,44.9133804831,38.5780270919,30.0008378525,20.0550045644,20.035209544
mw13.5,4,56.5166181269,54.4027014586,51.964292741,49.122201297,46.8630237371,44.3290919573,41.5040366934,39.977554688,38.1436364008,35.719193105,32.3264757719,28.2406906259,21.7832559572,20.0287221365,20.0062639976
AM13.4,4,67.982407534,65.9358322815,63.5744114883,62.215084448,60.6101524647,58.699777325,56.378891557,53.4785005572,49.7556779742,45.358600147,39.3222381015,34.6262076725,26.8056423277,20.0121787206,20.0055105748
mw13.6,3,101.062226402,98.9998673689,96.6297042868,93.8688645482,90.6221968569,87.1542290132,82.9252718818,77.6463341467,72.4614898407,65.5486948968,55.8814194593,47.6608375242,33.9660621165,20.1173062538,20.0722407212
AM13.5,3,114.2452947475,111.7836306705,109.0181646917,105.7917924424,101.9821864861,97.792567419,94.4005542467,90.1688493653,84.7415543281,77.5291305709,69.4609709161,57.3592662294,37.1899072379,20.0420327635,20.0260500716
AM13.6,4,69.5229038887,68.0650585539,66.3866656567,64.6134983414,62.6261862844,60.2811714135,57.4233197046,53.856983947,49.2815318372,43.1869723734,34.9024831067,27.1818874662,20.0428484038,20.0168439719,20.0161591376
