ref,outcome,k=15,k=14,k=13,k=12,k=11,k=10,k=9,k=8,k=7,k=6,k=5,k=4,k=3,k=2,k=1
AM40.8,3,73.8491984646,71.7181053859,70.2165264841,69.0757427913,67.8943308039,66.4771436525,64.8055827428,62.7261200133,60.0526350869,56.5083696159,52.9116622118,47.5208025916,42.2988566908,31.8552538196,31.8536400421
AM40.9,3,77.6062424873,77.0249928561,76.3720781582,75.6262581464,74.7655235891,73.7334934366,72.4723921172,70.8991665099,68.8786013646,67.1551612889,64.7460447697,62.9635341162,62.6026301566,61.8900673234,61.8410020409
AM40.10,3,83.7258052251,83.718391344,83.7112461404,83.7031532958,83.6997626287,83.6958740816,83.6947911664,83.6934761341,83.6924534533,83.691118241,83.6894251675,83.6869190281,83.6829260394,83.6780340603,83.6737191147
mw40.1,3,79.5089459134,78.1258636495,76.7573980904,75.1609116688,73.280624611,71.580960732,69.5046036795,68.1078450298,66.3129591845,65.0928415399,63.387204779,62.066001819,59.8689862324,58.7063515097,55.2198018234
mw40.2,1,47.2790293286,46.8734163309,46.4093201513,45.8680808956,45.2291925787,44.4631203238,43.5269037391,42.3567983683,40.8524124248,38.8486781153,36.0463952018,31.8460543806,31.8415368127,31.8339542026,31.8328455202
mw40.3,1,82.5217876183,80.9472775374,79.1307190094,78.046927211,76.7670762575,75.4502653194,74.0717522893,72.3487765432,70.1347233897,67.1828141105,63.4122114033,57.7600313114,49.1240757193,31.8549237049,31.8386888276
mw40.4,3,73.4897090348,73.1557219525,72.7704047063,72.3214621697,71.7913968216,71.1564682778,70.4137101627,69.5543143639,68.4494115118,66.9769716087,65.9942842464,64.5225477673,62.4894613799,58.4290767705,58.4285460843
mw40.5,4,101.9408536384,99.9349148596,98.599272109,97.041094398,95.2619905771,93.2039381088,90.6945804942,88.3985263234,86.2569702374,85.2239531187,83.7799705015,82.1212546262,79.3600924098,77.2389149806,77.2303012938
mw40.6,4,66.7080288037,64.0252906277,61.0025657673,57.476759933,53.6316095679,51.2198468041,48.2811453445,44.7762751663,42.5515851537,39.5881627725,35.9905741667,33.571617673,32.992034798,31.8595120946,31.83884876
mw40.7,3,265.4974226667,262.6863841232,259.4428915139,255.6588560043,251.1868352253,246.6472836168,241.098956863,234.1635833165,225.2467528801,213.3576517136,196.7133485284,171.967421023,130.7249641261,130.4699505091,129.7103276415
mw40.8,4,79.9326642798,77.2094836897,74.9272730571,72.2688322409,69.6401271098,66.4862114073,64.8556786214,62.8245342848,62.1182568265,61.1872397101,61.1825346884,61.1759513945,61.1665074293,61.1506729584,61.1042719555
mw40.9,4,47.2840242327,46.8786584941,46.4146409779,45.8735831569,45.2350163845,44.4694257095,43.5338697238,42.3644562463,40.8616761868,38.8588829967,36.059471943,31.8648478541,31.8598080258,31.8519052547,31.850618927
