@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R2,165-166,274'

@attribute time numeric
@attribute orgdon-wateraccratio numeric
@attribute inorg-org-moleratio numeric
@attribute outcome {1,2,3,4}

@data
84,-0.0035,2.8827,3
84,0,2.6948,3
84,0,2.1003,4
84,0,2.0764,3
84,-0.0027,6.6619,4
84,-0.0028,2.2623,4
84,-0.0032,1.7526,4
84,-0.0077,2.9609,4
84,-0.0074,2.2878,4
84,-0.0076,2.1895,4
60,0,4.5943,2
60,0,3.4368,4
60,0,3.3011,3
60,-0.0082,1.8241,3
60,-0.008,1.6296,4
60,-0.0076,1.4183,3
60,0,3.0102,3
60,0,2.2119,3
60,0,2.1803,3
60,-0.0139,3.0307,3
60,-0.0057,2.9422,4
60,-0.0056,2.9784,4
60,-0.0113,1.0942,4
60,-0.0032,5.8704,4
60,-0.0037,5.0285,4
60,-0.0157,0.4246,3
60,-0.0043,4.0278,4
60,-0.0093,1.4419,4
60,-0.0091,1.4976,1
84,-0.0104,3.2212,4
84,-0.0101,1.2515,4
84,-0.0023,8.7846,4
84,0,10.3115,4
84,0,2.8358,4
84,0,0.8335,4
84,0,5.4463,4
84,0,6.0359,3
84,0,0.4054,4
84,0,1.3873,4
84,0,1.3179,4
84,0,3.6576,3
84,0,1.9132,4
60,0,5.8989,1
60,0,2.0472,1
60,0,2.2101,1
60,0,2.0204,1
60,0,1.9255,1
60,0,2.0246,1
60,-0.005,2.2238,1
60,-0.005,2.253,1
60,-0.0051,2.2107,1
60,-0.0053,2.0929,1
84,-0.0059,13.724,4
84,-0.0062,2.7271,4
84,-0.0115,0.9725,4
84,-0.0033,5.8955,4
84,-0.0329,0.574,4
84,-0.0155,2.3844,4
84,-0.0046,3.0569,4
84,-0.009,1.4993,4
84,-0.0012,17.5752,4
84,-0.0205,0.6112,3
84,-0.0067,2.3443,4
84,-0.014,0.6079,4
84,-0.0055,2.993,4
84,0,1.8854,4
84,0,2.1075,4
84,-0.0046,2.2279,4
84,-0.0069,2.2598,3
84,-0.0015,2.4383,3
84,-0.0015,2.2306,4
84,-0.0017,2.2258,4
84,0,2.1345,3
84,0,2.1337,3
84,-0.0046,2.2539,4
84,-0.005,2.2438,3
84,-0.0045,2.2309,3
84,-0.006,1.989,3
84,-0.0039,3.602,3
84,-0.0077,0.9595,4
84,-0.0038,2.9988,3
84,-0.003,4.1301,2
84,-0.004,2.7755,2
84,-0.0074,1.0159,3
84,-0.0039,2.9087,3
84,-0.0022,5.8625,3
84,-0.0052,2.2234,3
84,-0.0024,5.2488,3
120,-0.2137,0.0315,4
120,-0.2147,0.0333,4
120,-0.214,0.0343,3
120,-0.2133,0.0376,4
24,-2.336,0.0101,4
24,-1.0083,0.0124,4
24,-0.5711,0.0154,4
24,-0.3494,0.0206,4
24,-0.2168,0.0311,4
24,-0.1342,0.0621,4
120,-0.131,0.0592,4
120,-0.136,0.0736,4
120,-0.1308,0.0631,4
65,-0.1369,0.0812,4
120,-0.116,0.0393,3
120,-0.1178,0.049,4
65,-0.1162,0.0417,4
120,-0.1165,0.054,4
120,-0.1174,0.0517,4
120,-0.1181,0.0545,4
120,-0.1314,0.0793,3
120,-0.1305,0.0832,4
120,-0.5371,0.02,4
120,-0.5353,0.0212,3
72,-0.3128,0.0188,4
72,-0.3134,0.0162,4
72,-0.314,0.0174,4
72,-0.3117,0.0175,4
192,-0.0685,0.6809,2
192,-0.0697,0.6727,2
192,-0.0121,0.7006,3
192,-0.0123,0.7121,4
192,-0.0575,0.7112,4
192,-0.0575,0.7172,3
192,0,0.6567,4
192,0,0.6478,4
192,-0.0729,0.7148,3
192,-0.0727,0.724,3
192,-0.0334,0.7133,3
192,-0.0333,0.7168,3
72,-0.3242,0.0174,4
72,-0.3246,0.0176,4
72,-0.3135,0.0178,4
72,-0.3137,0.0177,4
72,-0.3107,0.0174,3
72,-0.3127,0.0172,2
72,-0.3104,0.0175,3
72,-0.3128,0.0175,3
72,-0.3192,0.0177,4
72,-0.3193,0.0175,4
72,-0.3293,0.0173,4
72,-0.3293,0.0174,4
72,-0.3088,0.0175,3
72,-0.3121,0.0172,3
72,-0.3088,0.0173,3
72,-0.3091,0.0174,3
60,-0.022,1.9902,3
48,-0.0284,2.0231,3
48,-0.0201,1.9856,1
48,-0.0196,2.0214,1
60,-0.0791,1.9341,4
60,-0.0992,1.955,4
60,0,1.8053,3
60,-0.0226,1.947,3
60,-0.063,2.0431,4
60,-0.0211,2.0664,4
60,-0.0079,2.0821,1
60,-0.0035,2.0842,4
60,-0.0003,1.9941,3
60,-0.0307,1.9953,4
60,-0.0038,1.9045,1
60,-0.0211,1.9244,4
60,-0.0073,2.0201,4
60,-0.0036,1.9882,1
60,0,1.8988,1
60,-0.0115,2.0286,4
60,-0.0248,1.9512,3
72,-0.0618,0.6704,4
72,-0.0609,0.6815,4
72,-0.062,0.6731,4
72,-0.064,0.7124,1
72,-0.0635,0.7143,1
72,-0.0632,0.7091,1
72,-0.079,0.7142,2
72,-0.0794,0.7083,2
72,-0.078,0.7177,2
72,-0.0235,0.7143,3
72,-0.0237,0.7114,3
72,-0.0242,0.6947,3
72,0,1.0651,3
72,0,1.0636,3
72,0,1.0546,3
72,-0.307,0.0174,1
72,-0.3149,0.0172,1
72,-0.305,0.0176,1
72,-0.3151,0.0177,1
72,-0.3132,0.0172,1
72,-0.313,0.0174,1
72,-0.3164,0.0175,1
72,-0.3025,0.0176,1
72,-0.313,0.0173,1
72,-0.3054,0.0177,1
72,-0.3161,0.0182,1
72,-0.3147,0.0176,1
72,-0.3143,0.0176,1
72,-0.3143,0.0176,1
72,-0.3182,0.0175,1
83,-0.2646,0.0178,4
107,-0.3137,0.0173,4
83,-0.3064,0.0176,3
107,-0.3108,0.0177,3
83,-0.3416,0.017,4
107,-0.3164,0.0179,4
83,-0.2721,0.0172,3
107,-0.3049,0.0175,4
83,-0.2967,0.0171,4
107,-0.3153,0.0181,3
83,-0.331,0.0174,3
107,-0.3321,0.0186,2
83,-0.3181,0.0181,4
107,-0.3148,0.0176,4
83,-0.3182,0.0172,4
107,-0.3069,0.0172,4
72,-0.3207,0.0177,1
72,-0.2708,0.0176,2
72,-0.3235,0.0173,1
72,-0.3156,0.0175,2
72,-0.3043,0.0178,1
48,-0.3105,0.0175,2
72,-0.3146,0.0175,3
72,-0.3019,0.0174,1
72,-0.2981,0.0177,4
72,-0.3256,0.0177,1
72,-0.334,0.0181,4
72,-0.2921,0.0187,1
72,-0.2839,0.0176,2
48,-0.3055,0.0176,2
72,-0.3123,0.0174,1
72,-0.2938,0.0181,2
48,-0.2847,0.0178,3
72,-0.3191,0.0175,1
120,-0.3035,0.0169,4
120,-0.331,0.0172,3
120,-0.3387,0.0174,4
120,-0.2759,0.0168,4
120,-0.314,0.0174,3
120,-0.323,0.0178,4
120,-0.3278,0.0175,3
120,-0.3061,0.0175,3
120,-0.3062,0.0176,4
120,-0.3333,0.0169,4
120,-0.4029,0.0276,3
120,-0.3228,0.0174,4
120,-0.3194,0.0339,3
120,-0.3179,0.0173,3
120,-0.3457,0.0342,3
120,-0.3291,0.0171,3
120,-0.3094,0.0344,3
120,-0.3265,0.0173,3
120,-0.349,0.0346,3
120,-0.3197,0.0176,4
120,-0.296,0.0349,3
144,-0.3268,0.0181,3
144,-0.1746,0.0337,3
144,-0.3266,0.0292,3
144,-0.3219,0.059,4
144,-0.3375,0.0166,4
144,-0.3325,0.0185,4
144,-0.331,0.0295,3
144,-0.324,0.0285,3
144,-0.3223,0.0174,3
144,-0.2301,0.0349,3
144,-0.3224,0.0286,4
144,-0.3233,0.0583,4
144,-0.3019,0.0175,3
144,-0.3114,0.033,3
144,-0.3111,0.0172,2
144,-0.3047,0.017,3
144,-0.3062,0.0174,4
144,-0.3116,0.0343,4
144,-0.3148,0.0167,3
144,-0.3135,0.016,4
60,-0.0144,3.1768,1
60,-0.0044,1.6344,1
60,-0.0105,2.1436,3
60,-0.009,3.0042,4
60,-0.0175,2.9633,1
60,-0.0122,2.9976,1
60,-0.0089,3.1891,1
60,-0.0093,2.2044,1
60,-0.009,2.41,1
60,-0.0167,3.0873,1
60,-0.0168,2.2685,1
60,-0.0173,2.2414,1
60,-0.0122,3.1334,1
60,-0.0149,1.854,1
60,-0.0134,2.1492,1
60,-0.0145,3.1313,4
60,-0.0144,2.7702,4
