@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R39,41,85,96,164,240,254,267,274'

@attribute orgvanderwaalsMin numeric
@attribute orgASA+Min numeric
@attribute orghbdamsdonGeomAvg numeric
@attribute oxlikevanderwaalsMax numeric
@attribute orgacc-waterdonratio numeric
@attribute PaulingElectronegMean numeric
@attribute hardnessMaxWeighted numeric
@attribute AtomicRadiusMeanWeighted numeric
@attribute outcome {1,2}

@data
211.8,211.8,2,-1,0,2.09,4.5186,0.7105,2
281.27,216.3,0.73,-1,-0.004,1.72,1.0753,0.3502,2
294.5,268.62,1,-1,-0.0043,1.63,0.2988,0.1703,2
206.42,188.71,5,-1,0,1.63,0.3436,0.1958,1
340.09,267.29,2,-1,0,1.63,0.2929,0.1669,2
281.27,216.3,0.73,-1,-0.0043,1.63,0.3015,0.1718,1
340.09,267.29,2,-1,0,1.63,0.3155,0.1798,2
258.23,222.38,4,-1,0,1.63,0.2954,0.1683,1
273.23,244.65,0.97,-1,-0.0019,2.09,0.5614,0.1952,1
281.27,216.3,0,-1,-0.0035,2.09,0.5331,0.1918,2
281.27,216.3,0,-1,-0.0035,2.09,0.4265,0.1215,1
281.27,216.3,0,-1,-0.0038,2.09,0.4172,0.1189,1
281.27,216.3,0,-1,-0.0035,2.09,0.4086,0.1164,2
281.27,216.3,0,-1,-0.0036,2.09,0.4155,0.1184,2
340.09,267.29,2,-1,0,1.63,0.2956,0.1684,2
352.79,269.11,1.02,-1,-0.0032,1.63,0.2961,0.1687,2
340.09,267.29,2,-1,0,2.09,2.2348,0.3935,2
281.27,216.3,0.03,-1,-0.004,2.09,2.2042,0.3932,2
206.42,188.71,5,-1,0,2.09,2.2432,0.3954,2
298.21,211.47,0.07,-1,-0.0057,2.09,2.2432,0.3973,2
269.22,261.51,5.99,-1,0,2.09,2.4923,0.4321,1
211.8,211.8,2,-1,0,2.09,2.5608,0.4391,2
295.52,244.26,4,-1,0,2.09,2.2802,0.399,2
281.27,216.3,0,-1,-0.0036,2.09,0.4538,0.1797,2
245.47,215.51,3.17,-1,-0.0014,2.09,0.4894,0.1907,2
245.47,215.51,3.17,-1,-0.0014,2.09,0.473,0.1839,2
245.47,215.51,3.17,-1,-0.0014,2.09,0.4874,0.1937,2
340.09,267.29,2,-1,0,2.09,0.7503,0.1884,2
281.27,216.3,0.73,-1,-0.0028,2.09,0.7688,0.1925,2
206.42,188.71,5,-1,0,2.09,0.7718,0.1927,2
258.23,222.38,4,-1,0,2.09,0.7722,0.1922,2
295.52,244.26,4,-1,0,2.09,0.7594,0.1922,2
281.27,216.3,0.73,-1,-0.0027,2.09,0.7691,0.241,2
294.5,268.62,0.88,-1,-0.0035,2.09,0.7476,0.2307,2
258.23,222.38,4,-1,0,2.09,0.753,0.228,2
295.52,244.26,4,-1,0,2.09,0.7627,0.2413,2
210.31,193.85,4,-1,0,2.09,2.224,0.4017,1
258.23,222.38,4,-1,0,2.09,2.2462,0.3967,1
275.81,239.3,1.99,-1,0,2.09,2.2613,0.4018,2
310.74,287.07,0.93,-1,-0.0034,2.09,2.2277,0.3961,2
294.5,268.62,1,-1,-0.0031,2.09,2.2684,0.4006,2
206.42,188.71,5,-1,0,2.09,2.2479,0.3993,2
319.98,296.97,0.99,-1,-0.002,2.09,2.267,0.3985,1
200.55,196.83,3.78,-1,-0.0005,2.09,2.2193,0.4068,1
282.76,265.65,8,-1,0,2.09,2.5561,0.4437,2
353.93,337.12,10,-1,0,2.09,2.2018,0.3896,1
405.37,358.69,7.85,-1,-0.0003,2.09,2.2274,0.3933,2
238.74,220.5,3,-1,0,2.09,1.0915,0.1966,2
273.23,244.65,0.97,-1,-0.0025,2.09,1.1823,0.2169,2
253.52,224.12,2.01,-1,-0.0031,1.865,0.4199,0.1833,2
289.27,244.99,0.99,-1,-0.0025,1.865,0.4429,0.1861,2
333.62,258.26,6,-1,0,1.865,0.4214,0.1822,2
352.79,269.11,1.02,-1,-0.0036,1.865,0.4781,0.1841,2
273.45,228.83,3.02,-1,-0.0035,1.865,0.4214,0.1808,2
237.57,194.24,5.98,-1,-0.0001,1.865,0.424,0.1298,2
268.43,225.91,6,-1,0,1.865,0.3761,0.1468,2
268.43,225.91,6,-1,0,1.865,0.428,0.1302,2
301.3,233.22,6,-1,0,1.865,0.4253,0.1844,2
301.3,233.22,6,-1,0,1.865,0.3726,0.1442,2
365.55,282.95,5.99,-1,0,1.865,0.4217,0.1837,2
365.55,282.95,6,-1,0,1.865,1.905,0.6193,2
397.7,307.78,6,-1,0,1.865,0.4251,0.1843,2
397.7,307.78,6,-1,0,1.865,0.3785,0.1461,2
258.23,222.38,4,-1,0,2.09,2.2633,0.4015,2
258.23,222.38,4,-1,0,1.63,0.3037,0.1731,2
310.74,287.07,1.01,-1,-0.0021,2.09,2.1954,0.3878,2
310.74,287.07,1.01,-1,-0.0021,1.63,0.1519,0.0865,2
273.23,244.65,0.97,-1,-0.0023,1.63,0.1779,0.1014,1
273.23,244.65,0.97,-1,-0.0027,1.63,0.293,0.1669,2
340.09,267.29,2,-1,0,2.09,2.2287,0.3931,2
340.09,267.29,2,-1,0,1.63,0.1511,0.0861,2
215.61,200.73,5,-1,0,2.09,2.3191,0.4051,1
215.61,200.73,5,-1,0,1.63,0.1531,0.0872,1
282.76,265.65,8,-1,0,2.09,2.2116,0.3916,1
282.76,265.65,8,-1,0,1.63,0.1957,0.1115,1
282.76,265.65,8,-1,0,1.63,0.2963,0.1688,1
397.24,351.09,7.98,-1,0,2.09,2.2459,0.3948,2
397.24,351.09,7.98,-1,0,1.63,0.1474,0.084,2
397.24,351.09,7.98,-1,0,1.63,0.374,0.2131,1
238.74,220.5,3,-1,0,2.09,2.2186,0.3922,2
207.08,189.33,6,-1,0,2.09,2.256,0.4834,2
211.8,211.8,2,-1,0,2.09,2.2479,0.4855,2
237.57,194.24,6,-1,0,2.09,2.2311,0.4804,2
268.43,225.91,6,-1,0,2.09,2.2479,0.4834,2
238.74,220.5,3,-1,0,2.09,2.2563,0.488,2
207.08,189.33,6,-1,0,2.09,2.2707,0.4922,2
207.08,189.33,6,-1,0,2.09,2.2684,0.4843,2
207.08,189.33,6,-1,0,2.09,2.2435,0.4229,2
207.08,189.33,6,-1,0,2.09,3.0049,0.5859,1
207.08,189.33,6,-1,0,2.09,2.2354,0.479,2
207.08,189.33,6,-1,0,2.09,2.264,0.5417,2
207.08,189.33,6,-1,0,2.09,2.2385,0.4213,2
207.08,189.33,6,-1,0,2.09,1.4888,0.3769,2
281.27,216.3,0.21,-1,-0.0115,2.09,2.2455,0.4868,2
275.81,239.3,1.93,-1,-0.0004,2.09,2.2371,0.4844,2
264.05,236.52,3,-1,0,2.09,2.2375,0.4809,2
295.52,244.26,4,-1,0,2.09,2.2398,0.4809,2
352.43,277.8,3,-1,0,2.09,2.2529,0.4827,2
340.09,267.29,2,-1,0,2.09,2.2499,0.4811,2
227.47,167.98,0,-1,-0.5951,1.865,0.4841,0.1627,2
227.47,167.98,0.995,-1,-0.5902,1.865,0.4887,0.1659,2
227.47,167.98,0,-1,-0.5942,1.865,0.4788,0.1608,2
