@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,9-12,18,31,39,44,82,84,168,176,180,182-183,188,228,254,274'

@attribute Temp_max numeric
@attribute slowCool {yes,no}
@attribute pH numeric
@attribute leak {yes,no}
@attribute numberComponents numeric
@attribute orgavgpolMax numeric
@attribute orgrefractivityMax numeric
@attribute orgmaximalprojectionareaMax numeric
@attribute orgavgpol_pHdependentMax numeric
@attribute orgmaximalprojectionareaMin numeric
@attribute orgvanderwaalsMin numeric
@attribute orgASA_PMin numeric
@attribute orgASA_PGeomAvg numeric
@attribute orghbdamsaccGeomAvg numeric
@attribute Na {yes,no}
@attribute Mo {yes,no}
@attribute S {yes,no}
@attribute Se {yes,no}
@attribute Zn {yes,no}
@attribute Cr {yes,no}
@attribute PaulingElectronegMax numeric
@attribute hardnessMaxWeighted numeric
@attribute outcome {1,2}

@data
110,yes,1,no,3,13.33,37.45,47.62,13.69,47.62,294.5,31.24,31.24,1,no,no,yes,yes,no,no,2.55,1.1174,2
110,yes,1,no,3,24.87,61.67,72.38,26.09,72.38,397.24,107.52,107.52,0.02,no,no,yes,yes,no,no,2.55,1.8613,1
110,yes,3,no,3,11.87,30.93,41.87,11.87,41.87,324.05,27.88,27.88,1.42,no,no,yes,yes,no,no,2.55,1.8257,2
150,yes,1,no,3,13.33,37.45,47.62,13.69,47.62,294.5,31.24,31.24,1,yes,no,no,yes,no,no,2.55,2.2032,2
150,yes,1,no,3,9.94,25.21,32.65,10.63,32.65,206.42,64.03,64.03,0,yes,no,no,yes,no,no,2.55,2.2291,2
150,yes,2,yes,3,13.88,34.29,44.31,14.51,44.31,258.23,32.37,32.37,0,yes,no,no,yes,no,no,2.55,2.2324,1
150,yes,2,no,3,7.08,17.87,28.05,7.76,28.05,207.08,96.11,96.11,0,yes,no,no,yes,no,no,2.55,2.2207,2
110,yes,7,no,3,14.02,36.04,43.59,14.28,43.59,289.27,12.27,12.27,1,no,no,yes,yes,no,no,2.55,4.6141,1
110,yes,7,no,3,13.88,34.29,44.31,14.23,44.31,273.45,23.05,23.05,0.8,no,no,yes,yes,no,no,2.55,4.8255,2
110,yes,3,no,3,13.33,37.45,47.62,13.33,47.62,298.21,30.99,30.99,1.58,no,no,yes,yes,no,no,2.55,4.5079,2
110,yes,3,no,3,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,1.79,no,no,yes,yes,no,no,2.55,4.6978,2
75,yes,2,no,3,14.02,36.04,43.59,14.53,43.59,275.81,13.86,13.86,0.01,no,no,no,yes,no,no,2.55,2.225,2
75,yes,2,no,3,14.87,38.01,45.76,15.43,45.76,340.09,16.6,16.6,0,no,no,no,yes,no,no,2.55,2.2875,2
75,yes,1,no,3,14.87,38.01,45.76,15.43,45.76,340.09,16.6,16.6,0,no,no,no,yes,no,no,2.55,4.4074,2
75,yes,2,no,3,13.88,34.29,44.31,14.51,44.31,258.23,32.37,32.37,0,no,no,no,yes,no,no,2.55,2.2694,2
75,yes,1,no,3,13.88,34.29,44.31,14.51,44.31,258.23,32.37,32.37,0,no,no,no,yes,no,no,2.55,4.5388,2
110,yes,2,no,3,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,1.27,no,no,yes,yes,no,no,2.55,2.9723,2
110,yes,3,no,3,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,1.79,no,no,yes,yes,no,no,2.55,2.9787,2
110,yes,4,no,3,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,1.97,no,no,yes,yes,no,no,2.55,3.1461,2
110,yes,7,no,3,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,2,no,no,yes,yes,no,no,2.55,2.9659,2
110,yes,1,no,3,9.73,26.34,36.07,10.08,36.07,273.23,59.99,59.99,1.03,no,no,yes,yes,no,no,2.55,4.6265,2
110,yes,4,no,3,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,1.97,no,no,yes,yes,no,no,2.55,4.6578,2
110,yes,2,no,3,12.65,34.07,34.07,13.36,34.07,211.8,17.76,17.76,0,no,no,no,yes,no,no,2.55,2.2859,1
110,yes,1,no,3,12.65,34.07,34.07,13.36,34.07,211.8,17.76,17.76,0,no,no,no,yes,no,no,2.55,4.4326,2
110,yes,1,no,3,14.02,36.04,43.59,14.53,43.59,275.81,13.86,13.86,0,no,no,no,yes,no,no,2.55,4.4524,2
110,yes,2,no,3,14.87,38.01,45.76,15.43,45.76,340.09,16.6,16.6,0,no,no,no,yes,no,no,2.55,2.2825,2
110,yes,2,no,3,13.88,34.29,44.31,14.51,44.31,258.23,32.37,32.37,0,no,no,no,yes,no,no,2.55,2.228,2
110,yes,7,no,3,13.33,37.45,47.62,13.33,47.62,298.21,30.99,30.99,2,no,no,yes,yes,no,no,2.55,1.1544,2
110,yes,1,no,3,13.33,37.45,47.62,13.69,47.62,294.5,31.24,31.24,1,no,no,yes,yes,no,no,2.55,1.2324,2
110,yes,1,no,3,13.33,37.45,47.62,13.69,47.62,294.5,31.24,31.24,1,no,no,yes,yes,no,no,2.55,2.2707,2
