Reaction number,Reactant 1 name,Reactant 1 mass (g),Reactant 2 name,Reactant 2 mass (g),Reactant 3 name,Reactant 3 mass (g),Reactant 4 name,Reactant 4 mass (g),Reactant 5 name,Reactant 5 mass (g),Temp (ºC),Time (h),Slow cool,pH (x = unknown),Leak,purity (0 = no data in notebook; 1 = multiphase; 2 = single phase),"outcome (0 = no data in notebook, 1 = no solid; 2 = noncrystalline/brown; 3 = powder/crystallites; 4 = large single crystals)",Notes
dh44.17,V2O5,0.1866,Na2TeO3,0.1378,"1,5-dap",0.1478,EtOH,4.02,water,5.205,180,107,no,8,no,2,2,
dh44.18,V2O5,0.181,Na2TeO3,0.1164,"1,5-dap",0.1122,EtOH,3.8742,water,5.104,180,59.5,no,8,no,1,3,
dh44.19,V2O5,0.1859,Na2TeO3,0.1251,dmed,0.085,EtOH,3.9899,water,5.0726,180,83,no,9,no,1,4,
dh44.20,V2O5,0.1864,Na2TeO3,0.1112,dmed,0.1035,EtOH,3.9308,water,5.0884,180,107,no,9,no,1,4,
dh44.21,V2O5,0.1816,Na2TeO3,0.1495,dmed,0.087,EtOH,4.1005,water,5.0881,180,59.5,no,9,no,1,4,
dh44.22,V2O5,0.1814,Na2TeO3,0.1121,deed,0.1176,EtOH,3.9819,water,5.0695,180,83,no,9,no,1,4,
dh44.23,V2O5,0.1821,Na2TeO3,0.1118,deed,0.1186,EtOH,3.9753,water,5.2492,180,107,no,9,no,1,4,
dh44.24,V2O5,0.1809,Na2TeO3,0.1141,deed,0.1162,EtOH,3.9828,water,5.2267,180,59.5,no,9,no,1,4,
dh50.1,V2O5,0.1809,Na2TeO3,0.1185,dmed,0.0894,EtOH,3.945,water,5.0381,180,x,no,5,no,0,0,
dh50.2,V2O5,0.18,Na2TeO3,0.1179,dmed,0.0878,EtOH,3.945,water,5.9624,180,72,no,5,no,2,2,
dh50.3,V2O5,0.1826,Na2TeO3,0.1131,dmed,0.0882,EtOH,3.945,water,5.1434,180,48,no,x,no,2,2,
dh50.4,V2O5,0.1793,Na2TeO3,0.1136,deed,0.1176,EtOH,3.945,water,4.995,180,x,no,4,no,0,0,
dh50.5,V2O5,0.1814,Na2TeO3,0.114,deed,0.1154,EtOH,3.945,water,5.1147,180,72,no,5,no,2,2,
dh50.6,V2O5,0.1844,Na2TeO3,0.1161,deed,0.1157,EtOH,3.945,water,5.3057,180,x,no,5,no,0,0,
dh50.7,V2O5,0.1827,Na2TeO3,0.1141,pip,0.0867,EtOH,3.945,water,5.2008,180,48,no,4,no,2,2,
dh50.8,V2O5,0.18,Na2TeO3,0.1161,pip,0.0918,EtOH,3.945,water,5.1438,180,72,no,5,no,2,3,
dh50.9,V2O5,0.1806,Na2TeO3,0.1135,dabco,0.1168,EtOH,3.945,water,5.233,180,x,no,4,no,0,0,
dh50.10,V2O5,0.182,Na2TeO3,0.1201,dabco,0.1567,EtOH,3.945,water,5.3428,180,72,no,4,no,1,4,
dh50.11,V2O5,0.183,Na2TeO3,0.1183,"1,4-dab",0.1066,EtOH,3.945,water,5.1395,180,x,no,3,no,0,0,
