@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R5,25,60,164,172,175,180,241,274'

@attribute leak {yes,no}
@attribute orgASA_PMax numeric
@attribute orgASA+ArithAvg numeric
@attribute orgacc-waterdonratio numeric
@attribute K {yes,no}
@attribute I {yes,no}
@attribute S {yes,no}
@attribute PearsonElectronegMean numeric
@attribute outcome {1,2}

@data
no,59.99,244.65,-0.0037,no,no,no,459.35,1
no,45.39,287.07,-0.0029,no,no,no,459.35,2
no,27.89,220.5,0,no,no,no,459.35,2
no,27.89,220.5,0,no,no,no,459.35,2
no,27.89,220.5,0,no,no,no,459.35,2
no,27.89,220.5,0,no,no,no,459.35,2
no,27.89,220.5,0,no,no,no,459.35,2
no,27.89,220.5,0,no,no,no,459.35,2
no,27.89,220.5,0,no,no,no,459.35,2
no,96.38,181.11,-0.6152,no,no,no,440.25,2
no,60.56,180.175,-0.6113,no,no,no,440.25,2
no,96.38,181.11,-0.6168,no,no,no,440.25,2
no,60.56,180.175,-0.6195,no,no,no,440.25,2
no,96.34,282.95,0,no,no,no,440.25,2
no,96.34,282.95,0,no,no,no,440.25,2
no,96.36,307.78,0,no,no,no,440.25,2
no,96.36,307.78,0,no,no,no,440.25,2
no,12.27,244.99,-0.0017,no,no,no,440.25,2
no,12.27,244.99,-0.0017,no,no,no,440.25,2
no,27.25,224.12,-0.0016,no,no,no,440.25,1
no,27.25,224.12,-0.0017,no,no,no,440.25,2
no,33.93,216.3,-0.0036,no,no,no,440.25,2
no,33.93,216.3,-0.0037,no,no,no,440.25,2
no,33.93,216.3,-0.0036,no,no,no,440.25,2
no,13.98,214.35,-0.0026,no,no,no,440.25,2
no,13.98,214.35,-0.0031,no,no,no,440.25,2
no,30.88,205.41,-0.0025,no,no,no,440.25,2
no,30.88,205.41,-0.0024,no,no,no,440.25,2
no,30.88,205.41,-0.0025,no,no,no,440.25,2
no,0,132.96,0,no,no,no,440.25,1
no,0,132.96,0,no,no,no,440.25,2
no,0,132.96,0,no,no,no,440.25,2
no,19.05,202.61,0,no,no,no,440.25,2
no,0,456.94,0,no,no,no,440.25,2
no,0,456.94,0,no,no,no,440.25,2
no,40.31,189.97,-0.0008,no,no,no,440.25,2
no,23.05,228.83,-0.0018,no,no,no,440.25,2
no,23.05,228.83,-0.0018,no,no,no,440.25,2
no,23.05,228.83,-0.0037,no,no,no,440.25,2
no,23.05,228.83,-0.0011,no,no,no,440.25,2
no,23.05,228.83,-0.0012,no,no,no,440.25,2
no,23.05,228.83,-0.0014,no,no,no,440.25,2
no,23.05,228.83,-0.0029,no,no,no,440.25,1
no,23.05,228.83,-0.0007,no,no,no,440.25,2
no,33.93,216.3,-0.0043,no,no,no,440.25,2
no,33.93,216.3,-0.0023,no,no,no,440.25,2
no,33.93,216.3,-0.0022,no,no,no,440.25,2
no,33.93,216.3,-0.011,no,no,no,440.25,2
no,33.93,216.3,-0.0064,no,no,no,440.25,2
no,33.93,216.3,-0.0068,no,no,no,440.25,2
no,33.93,216.3,-0.0052,no,no,no,440.25,2
?,33.93,216.3,-0.0036,no,no,no,440.25,1
?,33.93,216.3,-0.0041,no,no,no,440.25,1
?,33.93,216.3,-0.0037,no,no,no,440.25,1
?,28.21,215.51,-0.0016,no,no,no,440.25,1
?,28.21,215.51,-0.0016,no,no,no,440.25,1
no,23.05,228.83,-0.0019,no,no,no,440.25,2
no,23.05,228.83,-0.002,no,no,no,440.25,2
no,23.05,228.83,-0.0011,no,no,no,440.25,2
no,23.05,228.83,-0.0015,no,no,no,440.25,2
no,23.05,228.83,-0.0029,no,no,no,440.25,2
no,23.05,228.83,-0.0045,no,no,no,440.25,2
no,33.93,216.3,-0.0054,no,no,no,440.25,2
no,28.21,215.51,-0.0015,no,no,no,440.25,2
no,28.21,215.51,-0.0022,no,no,no,440.25,2
?,12.27,244.99,-0.0015,no,no,no,440.25,2
?,27.88,236.4,-0.0032,no,no,no,440.25,2
?,27.88,236.4,-0.0037,no,no,no,440.25,2
?,28.21,215.51,-0.0015,no,no,no,440.25,2
?,28.21,215.51,-0.0016,no,no,no,440.25,2
?,28.21,215.51,-0.0019,no,no,no,440.25,2
?,28.21,215.51,-0.0013,no,no,no,440.25,2
?,28.21,215.51,-0.0012,no,no,no,440.25,2
?,28.21,215.51,-0.001,no,no,no,440.25,1
?,28.21,215.51,-0.0024,no,no,no,440.25,2
?,28.21,215.51,-0.0013,no,no,no,440.25,2
?,28.21,215.51,-0.0017,no,no,no,440.25,2
?,28.21,215.51,-0.0008,no,no,no,440.25,2
no,60.56,180.175,-0.3861,no,no,no,440.25,2
no,60.56,180.175,-0.3862,no,no,no,440.25,2
no,60.56,180.175,-0.3861,no,no,no,440.25,2
no,60.56,180.175,-0.3861,no,no,no,440.25,2
no,96.38,181.11,-0.7543,no,no,no,350.7,2
no,96.38,181.11,-0.2023,no,no,no,350.7,2
no,96.38,181.11,-0.0678,no,no,no,350.7,2
no,60.56,180.175,-0.2062,no,no,no,440.25,2
no,60.56,180.175,-0.2062,no,no,no,440.25,2
no,60.56,180.175,-0.1979,no,no,no,440.25,2
no,60.56,180.175,-0.1981,no,no,no,440.25,2
no,60.56,180.175,-0.1979,no,no,no,440.25,2
no,60.56,180.175,-0.198,no,no,no,440.25,2
no,60.56,180.175,-0.2062,no,no,no,440.25,2
