@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R4-5,7,10,13,15-16,20,25,27,33-35,44,49,71,100,170,174,180,185,188,228,239,258,261,274'

@attribute pH numeric
@attribute leak {yes,no}
@attribute numberOrg numeric
@attribute orgavgpolMax numeric
@attribute orgmaximalprojectionradiusMax numeric
@attribute orgminimalprojectionareaMax numeric
@attribute orgminimalprojectionradiusMax numeric
@attribute orgvanderwaalsMax numeric
@attribute orgASA_PMax numeric
@attribute orghbdamsaccMax numeric
@attribute orgmaximalprojectionsizeMin numeric
@attribute orgminimalprojectionareaMin numeric
@attribute orgminimalprojectionradiusMin numeric
@attribute orgASA_PMin numeric
@attribute orgrefractivityArithAvg numeric
@attribute orgmaximalprojectionsizeGeomAvg numeric
@attribute oxlikeASA_HMax numeric
@attribute Te {yes,no}
@attribute F {yes,no}
@attribute S {yes,no}
@attribute Cl {yes,no}
@attribute Cr {yes,no}
@attribute PaulingElectronegMax numeric
@attribute EAMean numeric
@attribute PaulingElectronegMinWeighted numeric
@attribute AtomicRadiusMinWeighted numeric
@attribute outcome {1,2}

@data
1,no,1,33.87,6.83,42.69,4.69,402.71,22.43,1.94,7.12,42.69,4.69,22.43,88.52,7.12,-1,no,no,no,no,no,2.55,122.8,0.0018,0.1868,2
1,no,1,33.87,6.83,42.69,4.69,402.71,22.43,1.94,7.12,42.69,4.69,22.43,88.52,7.12,-1,no,no,no,no,no,2.55,122.8,0.0017,0.1822,2
2,no,1,13.33,4.77,23.42,3.62,294.5,31.24,1.12,4.08,23.42,3.62,31.24,37.45,4.08,-1,no,no,yes,no,no,2.55,122.8,0.0035,0.3679,2
7,no,1,13.33,4.77,23.42,3.62,298.21,30.99,2,4.08,23.42,3.62,30.99,37.45,4.08,-1,no,no,yes,no,no,2.55,122.8,0.0032,0.3401,2
7,no,1,9.94,3.84,23.28,3.21,206.42,64.03,0.04,5.69,23.28,3.21,64.03,25.21,5.69,-1,no,no,yes,yes,no,2.55,122.8,0.0032,0.3383,1
2,no,1,9.73,4.05,20.35,3.12,281.27,33.93,1.27,5.18,20.35,3.12,33.93,26.34,5.18,-1,no,no,yes,no,no,2.55,122.8,0.0032,0.3382,2
2,no,1,9.88,3.6,23.12,3.57,203.38,41.81,0,5.56,23.12,3.57,41.81,25.45,5.56,-1,no,no,yes,no,no,2.55,122.8,0.0033,0.3416,2
2,no,1,11.87,4.38,22.58,3.38,310.74,45.39,1.07,4.65,22.58,3.38,45.39,30.93,4.65,-1,no,no,yes,no,no,2.55,122.8,0.0033,0.3466,1
7,no,1,11.87,4.38,22.58,3.38,324.05,27.88,2,4.65,22.58,3.38,27.88,30.93,4.65,-1,no,no,yes,no,no,2.55,122.8,0.0034,0.3522,2
4,no,1,18.04,6.48,28.27,3.44,353.93,128.75,0.08,5.93,28.27,3.44,128.75,43.32,5.93,-1,no,no,yes,no,no,2.55,122.8,0.0033,0.3482,2
