Base Features,ChemAxon,Feature Selection,BCR Weighted,Model,TP,FP,FN,TN,Accuracy,BCR,Matthews
new + legacy,False,CFS,False,NaiveBayes,0.5999189593714722,0.2166748277383699,0.134138718975738,0.04926749391442001,0.6491864532858922,0.5012601869836731,0.0028774895072189045
new + legacy,False,CFS,True,RandomForest,0.6229313816510106,0.12277747990165379,0.11112629669619967,0.14316484175113606,0.7660962234021467,0.69347204591788,0.39260585826182365
new + legacy,False,CFS,False,RandomForest,0.6656888462023407,0.14978870850124038,0.06836883214486945,0.11615361315154953,0.7818424593538902,0.6718120976924793,0.39139200506540633
new + legacy,False,CFS,True,SVM_PUK,0.5498109091733397,0.1204083203768941,0.18424676917387045,0.1455340012758958,0.6953449104492355,0.6481206467573986,0.278409025323441
new + legacy,False,CFS,False,SVM_PUK,0.6800736994042877,0.20025058177413504,0.05398397894292236,0.06569173987865488,0.7457654392829426,0.5867365567893664,0.23613840830265997
new,True,Postive Info,True,J48,0.545974484978034,0.11795479842066699,0.18014050623554226,0.1559302103657566,0.7019046953437906,0.6606195838119897,0.30327672123902444
new,True,Postive Info,False,J48,0.6213515233267926,0.14267024151276864,0.10476346788678383,0.13121476727365494,0.7525662906004476,0.6674038141735863,0.3516360049345974
new,True,Postive Info,True,KNN,0.6028712734006502,0.16160860616263012,0.1232437178129264,0.11227640262379344,0.7151476760244436,0.6201048156269194,0.25245281154043225
new,True,Postive Info,False,KNN,0.6028712734006502,0.16160860616263012,0.1232437178129264,0.11227640262379344,0.7151476760244436,0.6201048156269194,0.25245281154043225
new,True,Postive Info,True,LogisticRegression,0.5020365859599724,0.13507224299601667,0.22407840525360406,0.1388127657904069,0.6408493517503793,0.5991147876268026,0.1838485758247488
new,True,Postive Info,False,LogisticRegression,0.5866085113962018,0.18146984074835978,0.1395064798173745,0.09241516803806381,0.6790236794342657,0.5726479944781155,0.15352073861496923
new,True,Postive Info,True,NaiveBayes,0.4642410731012697,0.1406536264588128,0.2618739181123067,0.13323138232761078,0.5974724554288805,0.5628996598136224,0.11475425749169463
new,True,Postive Info,False,NaiveBayes,0.46746746101628517,0.1412171062588791,0.2586475301972912,0.13266790252754448,0.6001353635438297,0.5640926586438559,0.11712928218732285
new,True,Postive Info,True,RandomForest,0.5425281495111335,0.1574206922796904,0.18358684170244288,0.11646431650673315,0.6589924660178667,0.586198158994824,0.16775829943397083
new,True,Postive Info,False,RandomForest,0.6218234659307847,0.19566075073380612,0.10429152528279158,0.07822425805261742,0.7000477239834022,0.5709901836459235,0.16391746392016732
new,True,Postive Info,True,SVM_PUK,0.6931241179078166,0.24396779778242025,0.03299087330575971,0.029917211004003335,0.7230413289118199,0.5318989830000085,0.11717887914556871
new,True,Postive Info,False,SVM_PUK,0.7131940871645578,0.2615955294815117,0.012920904049018807,0.012289479304911916,0.7254835664694697,0.5135381877476002,0.07702508541382641
new + legacy,New,CFS,True,J48,0.5716589668525507,0.11918094126781013,0.15991505751057986,0.1492450343690594,0.7209040012216101,0.6687051582370191,0.32353356485098883
new + legacy,New,CFS,False,J48,0.6480303584685362,0.1587487187080118,0.08354366589459426,0.10967725692885774,0.757707615397394,0.647198452625465,0.3304229920266004
new + legacy,New,CFS,True,KNN,0.6100109171256763,0.1696458967736185,0.12156310723745402,0.09878007886325105,0.7087909959889274,0.6009154747556003,0.21578816405952544
new + legacy,New,CFS,False,KNN,0.6100109171256763,0.1696458967736185,0.12156310723745402,0.09878007886325105,0.7087909959889274,0.6009154747556003,0.21578816405952544
new + legacy,New,CFS,True,LogisticRegression,0.4955681355612819,0.11995298938585981,0.23600588880184856,0.14847298625100974,0.6440411218122917,0.6152621808263332,0.20999091886184254
new + legacy,New,CFS,False,LogisticRegression,0.705268641578563,0.22443165919638763,0.026305382784567472,0.04399431644048187,0.7492629580190449,0.5639700742934877,0.22176859248926267
new + legacy,New,CFS,True,NaiveBayes,0.47456793464194325,0.160050240920533,0.25700608972118727,0.10837573471633655,0.5829436693582798,0.5262198400493605,0.04825826668777449
new + legacy,New,CFS,False,NaiveBayes,0.6115703372475584,0.20968722229553804,0.12000368711557208,0.05873875334133152,0.6703090905888899,0.5273958577653486,0.06337278238127979
new + legacy,New,CFS,True,RandomForest,0.6332149022102281,0.13722324843971379,0.09835912215290248,0.13120272719715576,0.7644176294073839,0.6771684417882186,0.3733696582928959
new + legacy,New,CFS,False,RandomForest,0.6686840617885187,0.16613202154809678,0.06288996257461175,0.10229395408877279,0.7709780158772914,0.647561429079127,0.35218023046827085
new + legacy,New,CFS,True,SVM_PUK,0.5734742623427335,0.13618621985968146,0.15809976202039708,0.13223975577718805,0.7057140181199215,0.6382699177833201,0.2699732422384662
new + legacy,New,CFS,False,SVM_PUK,0.703502885029312,0.21787478472862837,0.02807113933381861,0.0505511909082412,0.7540540759375532,0.574976815911513,0.24689176259531675
new + legacy,New,Postive Info,True,J48,0.5632854068116505,0.12100867630839322,0.16423775928735035,0.15146815759260585,0.7147535644042564,0.6650722633315819,0.3162492863387607
new + legacy,New,Postive Info,False,J48,0.6163688809902904,0.144735404269984,0.12047662709652901,0.11841908764319657,0.7347879686334869,0.6432475565059002,0.2958588527531431
new + legacy,New,Postive Info,True,KNN,0.6060544166013837,0.15967961249507345,0.121468749497617,0.11279722140592566,0.7188516380073093,0.6235039568748012,0.25966026458614755
new + legacy,New,Postive Info,False,KNN,0.6151543473432475,0.15245601373032489,0.12169116074357203,0.11069847818285565,0.7258528255261031,0.6277540648199521,0.2663909963536303
new + legacy,New,Postive Info,True,LogisticRegression,0.4917882888733707,0.12170082486341653,0.2357348772256302,0.1507760090375826,0.6425642979109534,0.6146648100367795,0.20968340554964726
new + legacy,New,Postive Info,False,LogisticRegression,0.5913299710063831,0.1579248257263715,0.1455155370804363,0.10522966618680903,0.6965596371931921,0.6011967212387549,0.20561697633185472
