@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R2,58,64,103,168,180,197,238,274'

@attribute time numeric
@attribute orgvanderwaalsArithAvg numeric
@attribute orgpolarsurfaceareaArithAvg numeric
@attribute oxlikehbdamsaccMax numeric
@attribute Na {yes,no}
@attribute S {yes,no}
@attribute P5 {yes,no}
@attribute IonizationMean numeric
@attribute outcome {1,2}

@data
20,258.23,33.22,-1,yes,no,no,795.95,2
20,258.23,33.22,-1,no,no,no,650.9,2
20,310.74,27.03,-1,yes,no,no,795.95,2
20,310.74,27.03,-1,yes,no,no,650.9,2
20,273.23,27.03,-1,yes,no,no,650.9,1
20,273.23,27.03,-1,no,no,no,650.9,2
20,340.09,8.88,-1,yes,no,no,795.95,2
20,340.09,8.88,-1,yes,no,no,650.9,2
20,215.61,44.25,-1,yes,no,no,795.95,1
20,215.61,44.25,-1,yes,no,no,650.9,1
20,282.76,71.89,-1,yes,no,no,795.95,1
20,282.76,71.89,-1,yes,no,no,650.9,1
20,282.76,71.89,-1,no,no,no,650.9,1
20,397.24,64.16,-1,yes,no,no,795.95,2
20,397.24,64.16,-1,yes,no,no,650.9,2
20,397.24,64.16,-1,no,no,no,650.9,1
20,238.74,21.05,-1,yes,no,no,795.95,2
96,207.08,55.28,-1,no,yes,no,795.95,2
96,211.8,8.88,-1,no,yes,no,795.95,2
96,237.57,55.28,-1,no,yes,no,795.95,2
96,268.43,55.28,-1,no,yes,no,795.95,2
96,238.74,21.05,-1,no,yes,no,795.95,2
72,207.08,55.28,-1,no,yes,no,795.95,2
72,207.08,55.28,-1,no,yes,no,795.95,2
72,207.08,55.28,-1,no,yes,no,795.95,2
72,207.08,55.28,-1,no,yes,no,795.95,1
48,207.08,55.28,-1,no,yes,no,795.95,2
48,207.08,55.28,-1,no,yes,no,795.95,2
48,207.08,55.28,-1,no,yes,no,795.95,2
48,207.08,55.28,-1,no,yes,no,795.95,2
72,281.27,25.78,-1,no,yes,no,795.95,2
72,275.81,8.88,-1,no,yes,no,795.95,2
72,264.05,21.05,-1,no,yes,no,795.95,2
72,295.52,33.22,-1,no,yes,no,795.95,2
72,352.43,21.05,-1,no,yes,no,795.95,2
72,340.09,8.88,-1,no,yes,no,795.95,2
113,254.37,23.005,-1,yes,no,yes,760.1,2
113,258.37,13.955,-1,yes,no,yes,760.1,2
113,275.76,23.005,-1,yes,no,yes,760.1,2
113,251.815,18.35,-1,yes,no,yes,760.1,2
113,322.18,40.995,-1,yes,no,yes,760.1,2
113,222.895,24.435,-1,yes,no,yes,760.1,2
113,220.355,36.945,-1,yes,no,yes,760.1,2
113,247.95,37.755,-1,yes,no,yes,760.1,2
113,264.385,37.755,-1,yes,no,yes,760.1,2
10,238.74,21.05,-1,no,no,no,795.95,1
10,238.74,21.05,-1,no,no,no,795.95,2
10,275.81,8.88,-1,no,no,no,795.95,1
10,275.81,8.88,-1,no,no,no,795.95,2
10,273.23,27.03,-1,no,no,no,795.95,2
10,273.23,27.03,-1,no,no,no,795.95,2
10,273.23,27.03,-1,no,no,no,795.95,2
10,258.23,33.22,-1,no,no,no,795.95,2
10,258.23,33.22,-1,no,no,no,795.95,2
10,310.74,27.03,-1,no,no,no,795.95,1
10,310.74,27.03,-1,no,no,no,795.95,2
10,340.09,8.88,-1,no,no,no,795.95,2
10,340.09,8.88,-1,no,no,no,795.95,1
10,282.76,71.89,-1,no,no,no,795.95,2
10,282.76,71.89,-1,no,no,no,795.95,2
48,258.23,33.22,-1,no,no,no,795.95,2
48,238.74,21.05,-1,no,no,no,795.95,2
48,273.23,27.03,-1,no,no,no,795.95,2
48,340.09,8.88,-1,no,no,no,795.95,2
48,310.74,27.03,-1,no,no,no,795.95,2
24,258.23,33.22,-1,no,no,no,795.95,1
24,238.74,21.05,-1,no,no,no,795.95,1
24,275.81,8.88,-1,no,no,no,795.95,2
24,273.23,27.03,-1,no,no,no,795.95,1
24,310.74,27.03,-1,no,no,no,795.95,2
20,238.74,21.05,-1,yes,no,no,795.95,2
20,238.74,21.05,-1,yes,no,no,795.95,2
20,238.74,21.05,-1,yes,no,no,795.95,2
20,238.74,21.05,-1,yes,no,no,795.95,2
20,238.74,21.05,-1,yes,no,no,795.95,2
20,238.74,21.05,-1,yes,no,no,795.95,2
20,238.74,21.05,-1,yes,no,no,795.95,2
120,232.52,37.755,-1,yes,no,yes,760.1,2
120,234.765,36.945,-1,yes,no,yes,760.1,2
120,232.52,37.755,-1,yes,no,yes,760.1,2
120,234.765,36.945,-1,yes,no,yes,760.1,2
60,365.55,55.28,-1,yes,no,yes,760.1,2
60,365.55,55.28,-1,yes,no,yes,760.1,2
60,397.7,55.28,-1,yes,no,yes,760.1,2
60,397.7,55.28,-1,yes,no,yes,760.1,2
84,289.27,7.68,-1,yes,no,yes,760.1,2
84,289.27,7.68,-1,yes,no,yes,760.1,2
84,253.52,19.85,-1,yes,no,yes,760.1,1
84,253.52,19.85,-1,yes,no,yes,760.1,2
84,281.27,25.78,-1,yes,no,yes,760.1,2
84,281.27,25.78,-1,yes,no,yes,760.1,2
84,281.27,25.78,-1,yes,no,yes,760.1,2
84,219.31,7.68,-1,yes,no,yes,760.1,2
84,219.31,7.68,-1,yes,no,yes,760.1,2
84,218.32,28.64,-1,yes,no,yes,760.1,2
84,218.32,28.64,-1,yes,no,yes,760.1,2
84,218.32,28.64,-1,yes,no,yes,760.1,2
60,239.3,0,-1,yes,no,yes,760.1,1
60,239.3,0,-1,yes,no,yes,760.1,2
60,239.3,0,-1,yes,no,yes,760.1,2
60,283.03,16.61,-1,yes,no,yes,760.1,2
60,592.69,0,-1,yes,no,yes,760.1,2
60,592.69,0,-1,yes,no,yes,760.1,2
60,230.84,53.66,-1,yes,no,yes,760.1,2
60,273.45,28.64,-1,yes,no,yes,760.1,2
60,273.45,28.64,-1,yes,no,yes,760.1,2
60,273.45,28.64,-1,yes,no,yes,760.1,2
60,273.45,28.64,-1,yes,no,yes,760.1,2
60,273.45,28.64,-1,yes,no,yes,760.1,2
60,273.45,28.64,-1,yes,no,yes,760.1,2
60,273.45,28.64,-1,yes,no,yes,760.1,1
84,273.45,28.64,-1,yes,no,yes,760.1,2
84,281.27,25.78,-1,yes,no,yes,760.1,2
84,281.27,25.78,-1,yes,no,yes,760.1,2
84,281.27,25.78,-1,yes,no,yes,760.1,2
84,281.27,25.78,-1,yes,no,yes,760.1,2
84,281.27,25.78,-1,yes,no,yes,760.1,2
84,281.27,25.78,-1,yes,no,yes,760.1,2
84,281.27,25.78,-1,yes,no,yes,760.1,2
60,281.27,25.78,-1,yes,no,yes,760.1,1
60,281.27,25.78,-1,yes,no,yes,760.1,1
60,281.27,25.78,-1,yes,no,yes,760.1,1
60,245.47,28.64,-1,yes,no,yes,760.1,1
60,245.47,28.64,-1,yes,no,yes,760.1,1
84,273.45,28.64,-1,yes,no,yes,760.1,2
84,273.45,28.64,-1,yes,no,yes,760.1,2
84,273.45,28.64,-1,yes,no,yes,760.1,2
84,273.45,28.64,-1,yes,no,yes,760.1,2
84,273.45,28.64,-1,yes,no,yes,760.1,2
84,273.45,28.64,-1,yes,no,yes,760.1,2
84,281.27,25.78,-1,yes,no,yes,760.1,2
84,245.47,28.64,-1,yes,no,yes,760.1,2
84,245.47,28.64,-1,yes,no,yes,760.1,2
84,289.27,7.68,-1,yes,no,yes,760.1,2
84,324.05,25.78,-1,yes,no,yes,760.1,2
84,324.05,25.78,-1,yes,no,yes,760.1,2
84,245.47,28.64,-1,yes,no,yes,760.1,2
84,245.47,28.64,-1,yes,no,yes,760.1,2
84,245.47,28.64,-1,yes,no,yes,760.1,2
84,245.47,28.64,-1,yes,no,yes,760.1,2
84,245.47,28.64,-1,yes,no,yes,760.1,2
84,245.47,28.64,-1,yes,no,yes,760.1,1
84,245.47,28.64,-1,yes,no,yes,760.1,2
84,245.47,28.64,-1,yes,no,yes,760.1,2
84,245.47,28.64,-1,yes,no,yes,760.1,2
84,245.47,28.64,-1,yes,no,yes,760.1,2
120,234.765,36.945,-1,yes,no,yes,760.1,2
120,234.765,36.945,-1,yes,no,yes,760.1,2
120,234.765,36.945,-1,yes,no,yes,760.1,2
120,234.765,36.945,-1,yes,no,yes,760.1,2
24,232.52,37.755,-1,no,no,no,650.9,2
24,232.52,37.755,-1,no,no,no,650.9,2
24,232.52,37.755,-1,no,no,no,650.9,2
120,234.765,36.945,-1,yes,no,yes,760.1,2
120,234.765,36.945,-1,yes,no,yes,760.1,2
120,234.765,36.945,-1,yes,no,yes,760.1,2
120,234.765,36.945,-1,yes,no,yes,760.1,2
65,234.765,36.945,-1,yes,no,yes,760.1,2
120,234.765,36.945,-1,yes,no,yes,760.1,2
120,234.765,36.945,-1,yes,no,yes,760.1,2
120,234.765,36.945,-1,yes,no,yes,760.1,2
120,234.765,36.945,-1,yes,no,yes,760.1,2
72,251.815,18.35,-1,yes,no,yes,760.1,2
72,251.815,18.35,-1,yes,no,yes,760.1,2
192,219.31,7.68,-1,yes,no,yes,760.1,2
192,247.46,52.04,-1,yes,no,yes,760.1,2
