@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R18,48,60,162-163,171,233,250,255,262,273-274'

@attribute orgavgpol_pHdependentMax numeric
@attribute orgavgpolArithAvg numeric
@attribute orgASA+ArithAvg numeric
@attribute inorg-water-moleratio numeric
@attribute org-water-moleratio numeric
@attribute Br {yes,no}
@attribute EAMin numeric
@attribute IonizationMaxWeighted numeric
@attribute AtomicRadiusMaxWeighted numeric
@attribute IonizationMeanWeighted numeric
@attribute AtomicRadiusGeomWeighted numeric
@attribute outcome {1,2,3,4}

@data
9.73,9.73,216.3,0.0318,0.0038,no,50.6,7.5146,0.8225,4.0967,0.383,4
9.73,9.73,216.3,0.0349,0.0042,no,50.6,7.9369,0.8688,4.2929,0.3848,3
9.73,9.73,216.3,0.0398,0.0059,no,50.6,7.4824,0.819,4.0896,0.3872,3
10.08,9.73,244.65,0.0408,0.0034,no,50.6,11.6718,1.2776,6.1679,0.4721,4
9.73,9.73,216.3,0.0459,0.0042,no,50.6,11.2706,1.2337,5.9677,0.4642,4
9.73,9.73,216.3,0.0882,0.0043,no,50.6,11.4241,1.7372,9.0184,1.4739,3
9.73,9.73,216.3,0.0592,0.0058,no,50.6,11.7506,1.2862,6.2,0.4684,4
13.36,12.65,211.8,0.0197,0.0029,no,50.6,5.7668,0.6312,3.2402,0.344,2
13.36,12.65,211.8,0.0357,0.0031,no,50.6,11.1824,1.224,5.9298,0.4666,3
14.53,14.02,239.3,0.0176,0.0028,no,50.6,5.7269,0.6269,3.1891,0.3275,4
14.53,14.02,239.3,0.0369,0.0031,no,50.6,11.2325,1.2295,5.9526,0.4662,3
15.43,14.87,267.29,0.0196,0.0029,no,50.6,5.7583,0.6303,3.1976,0.3248,3
15.43,14.87,267.29,0.0356,0.0029,no,50.6,11.1977,1.2257,5.9957,0.5056,2
14.51,13.88,222.38,0.0197,0.0031,no,50.6,5.6209,0.6153,3.1622,0.3372,3
14.51,13.88,222.38,0.037,0.003,no,50.6,11.185,1.2243,5.9579,0.4848,3
13.69,13.33,268.62,0.013,0.0051,no,50.6,2.8545,0.3125,1.7429,0.2276,4
13.33,13.33,211.47,0.0134,0.005,no,50.6,2.9122,0.3188,1.7728,0.2303,3
13.69,13.33,268.62,0.017,0.0062,no,50.6,3.109,0.3403,1.8785,0.2407,4
